kl93	0	*	almost some lawyer could answer that question .
kl93	1		a large dog gives live birth .
kl93	1		is there something i can do for you ?
kl93	1		i expected that we would not have any potatoes .
kl93	0	*	all but at most three boys saw anything .
kl93	1		i 'm surprised he bought a honda .
kl93	1		take any apple .
kl93	1		i do n't have any potatoes .
kl93	0	*	i have any potatoes .
kl93	1		at most three girls saw anything .
kl93	0	*	at least three girls saw anything .
kl93	1		every girl who saw anything was happy .
kl93	0	*	some girl who saw anything was happy .
kl93	1		any owl hunts mice .
kl93	1		any lawyer could tell you that .
kl93	1		i would dance with anybody .
kl93	1		almost every lawyer could answer that question .
kl93	1		almost no lawyer could answer that question .
kl93	1		almost any lawyer could answer that question .
kl93	0	*	i do n't have almost any potatoes .
kl93	1		i would dance with mary or sue .
kl93	1		mary or sue could tell you that .
kl93	1		do you have dry socks ? claim .
kl93	1		perhaps some dry socks would help ?
kl93	1		an owl hunts mice .
kl93	1		generics allow exceptions .
kl93	1		a poodle gives live birth .
kl93	1		every poodle gives live birth .
kl93	1		i do n't have potatoes .
kl93	1		every man who has matches is happy .
kl93	1		every man who has any matches is happy .
kl93	1		could we make some french fries ?
kl93	1		why do n't we make some french fries ?
kl93	1		are you prepared for school tomorrow ?
kl93	1		and then all the owls go on a mice hunt .
kl93	1		if you take a dry match and strike it , it lights .
kl93	1		at most three teachers assigned homework .
kl93	1		at most three teachers assigned any homework .
kl93	1		every student who handed in some homework will get a prize .
kl93	1		every student who handed in any homework will get a prize .
kl93	1		before you make plans , consult the secretary .
kl93	1		before you make any plans , consult the secretary .
kl93	1		is there anything i can do for you ?
kl93	1		a professional dancer would be able to do it .
kl93	1		any professional dancer would be able to do it .
kl93	1		we do n't have potatoes , or at least not enough .
kl93	1		every man who has any matches is happy . happy .
kl93	0	*	every boy has any potatoes .
kl93	0	*	it 's not the case that every boy has any potatoes .
kl93	1		i 'm surprised we had any potatoes .
kl93	1		at most three boys did n't see anything .
kl93	0	*	even sue said anything .
kl93	1		sue was the most likely not to say anything .
kl93	1		sue said something although she was the most likely not to say anything .
kl93	1		cows fly more often than john visits any relatives .
kl93	0	*	each candidate who has any interest in semantics will be admit ted to the department .
kl93	1		every child should have a daily glass of milk .
kl93	1		each child should have a daily glass of milk .
kl93	1		i 'm surprised that he ever said anything .
kl93	1		i 'm sorry that he ever said anything .
kl93	0	*	i 'm glad that i ever met him .
kl93	0	*	i 'm sure that i ever met him .
kl93	1		i 'm surprised he bought a car .
kl93	1		but these tickets are terrible !
kl93	1		i was surprised that he stole the watch , in as far as that was a daring thing to do .
kl93	1		given my high opinion on his moral character , i was surprised that he stole the watch .
kl93	1		were you surprised that he stole the watch ?
kl93	1		i 'm sorry that anybody hates me .
kl93	1		i want for nobody to hate me .
kl93	1		i 'm glad he bought a car .
kl93	1		i 'm sorry he bought a car .
kl93	1		he bought a honda .
